! FILETYPE CSV,
! VERSION 1.0,1
! TIMESTAMP Tuesday, 19 March 2019 13:26:54
! NAME Agilent Technologies,
! MODEL N9923A,
! SERIAL US49470133,
! FIRMWARE_VERSION A.05.53,
! GPS_LATITUDE ,
! GPS_LONGITUDE ,
! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
! GPS_SECS_SINCE_LAST_READ 0,
! CHECKSUM 0455228136,
! CORRECTION1 Rdy,
! DATA Freq,S11
! FREQ UNIT Hz,
! DATA UNIT dB,
BEGIN,
2000000,-0.023619445411555
21990000,-0.077417755509062
41980000,-0.495556088612583
61970000,-0.310741415947978
81960000,-0.628316666381042
101950000,-0.577381862839641
121940000,-0.696784176418417
141930000,-0.827246103913973
161920000,-0.755398782842584
181910000,-1.01460358983779
201900000,-0.876820337533409
221890000,-1.18705133348689
241880000,-0.929440335055181
261870000,-1.30376376588571
281860000,-1.15227492059801
301850000,-1.32600083551941
321840000,-1.39415549732881
341830000,-1.28135370716716
361820000,-1.66171175909816
381810000,-1.29364598375254
401800000,-1.93496707826538
421790000,-1.35079472047684
441780000,-1.74988649557468
461770000,-1.84204543345612
481760000,-1.59301283386249
501750000,-2.23147874173611
521740000,-1.65161913374916
541730000,-2.1744560240984
561720000,-1.95410680524003
581710000,-2.10825814546248
601700000,-2.30850511705225
621690000,-2.07720078785984
641680000,-2.49995882847538
661670000,-2.19128681197943
681660000,-2.53070457907228
701650000,-2.54286038635893
721640000,-2.33373941966448
741630000,-2.86116785683882
761620000,-2.52474219528444
781610000,-2.85969981083757
801600000,-2.86551720656483
821590000,-2.70607194606387
841580000,-3.28271234708346
861570000,-2.61206777552633
881560000,-3.57904398731443
901550000,-2.92938704062901
921540000,-3.28211579879614
941530000,-3.54873988282528
961520000,-3.011932079865
981510000,-4.3230151308552
1001500000,-2.96137746149773
1021490000,-4.53886833466993
1041480000,-3.99553122830713
1061470000,-5.27309678908578
1081460000,-7.5953268354895
1101450000,-9.47858276144049
1121440000,-7.05762171971312
1141430000,-4.71325606511904
1161420000,-6.73580678130734
1181410000,-5.78950744350375
1201400000,-7.75315698808322
1221390000,-6.82508508816729
1241380000,-9.88682609361966
1261370000,-8.32367242095678
1281360000,-11.3289994862808
1301350000,-9.96417877915267
1321340000,-12.8558128852061
1341330000,-12.1500798810634
1361320000,-15.1811079604479
1381310000,-15.7343993820832
1401300000,-15.6806937234316
1421290000,-20.8185544594503
1441280000,-15.4829301009563
1461270000,-19.2141815156981
1481260000,-15.8952706991642
1501250000,-17.6953070576273
1521240000,-14.8766147123202
1541230000,-15.3621424607475
1561220000,-10.4662520345215
1581210000,-11.2432471805921
1601200000,-7.76486019738333
1621190000,-10.0125934897255
1641180000,-7.9488503932819
1661170000,-12.2916191773327
1681160000,-11.1982527650048
1701150000,-14.4176374163464
1721140000,-10.8471692554676
1741130000,-9.17359690565955
1761120000,-7.95456433880662
1781110000,-7.61183852282956
1801100000,-7.31833481438474
1821090000,-9.63358730183664
1841080000,-8.42749725477669
1861070000,-9.01407919317646
1881060000,-6.44207644217862
1901050000,-7.77743178842623
1921040000,-6.80981868093041
1941030000,-7.31690220331532
1961020000,-7.29834169654169
1981010000,-7.07304532215424
2001000000,-7.49491493834838
2020990000,-6.89004885687569
2040980000,-7.89688809126107
2060970000,-6.49414533633632
2080960000,-7.19165435645219
2100950000,-6.2224866061722
2120940000,-6.6706999353672
2140930000,-6.53179402526592
2160920000,-6.00268964844867
2180910000,-6.66117854458702
2200900000,-5.66473128230803
2220890000,-6.54336757571904
2240880000,-5.63761580923992
2260870000,-6.17263591640768
2280860000,-5.98514738116199
2300850000,-5.71300234531277
2320840000,-6.47287948303276
2340830000,-5.4976942660012
2360820000,-6.58882103327085
2380810000,-5.50139684367585
2400800000,-5.95783690002922
2420790000,-6.14740896245001
2440780000,-5.73511942353107
2460770000,-6.44088559780836
2480760000,-5.7240457966865
2500750000,-6.27011573866554
2520740000,-5.90691273949633
