! FILETYPE CSV,
! VERSION 1.0,1
! TIMESTAMP Tuesday, 19 March 2019 13:23:34
! NAME Agilent Technologies,
! MODEL N9923A,
! SERIAL US49470133,
! FIRMWARE_VERSION A.05.53,
! GPS_LATITUDE ,
! GPS_LONGITUDE ,
! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
! GPS_SECS_SINCE_LAST_READ 0,
! CHECKSUM 0002773884,
! CORRECTION1 Rdy,
! DATA Freq,S11
! FREQ UNIT Hz,
! DATA UNIT dB,
BEGIN,
200000000,-0.804103441074315
219000000,-1.13513237316247
238000000,-0.986262716031478
257000000,-1.03587026996523
276000000,-1.31399085002047
295000000,-0.995625153378773
314000000,-1.48331346217295
333000000,-1.16877179762768
352000000,-1.38897236977643
371000000,-1.5282392629089
390000000,-1.21892368167692
409000000,-1.89930117550824
428000000,-1.26672232421598
447000000,-1.59717997425776
466000000,-1.83151722526663
485000000,-1.3786349522596
504000000,-2.0804255850927
523000000,-1.64907422233544
542000000,-1.80015562100558
561000000,-2.0216400620773
580000000,-1.71438810682058
599000000,-2.17032826190261
618000000,-1.95351949103994
637000000,-2.0426908592225
656000000,-2.24096146321395
675000000,-2.00328222703682
694000000,-2.33478842666079
713000000,-2.32419383152321
732000000,-2.11479434113517
751000000,-2.55088354241124
770000000,-2.34940965317577
789000000,-2.45178383590745
808000000,-2.80770324794791
827000000,-2.41909588791705
846000000,-3.20367635315681
865000000,-3.02898471747779
884000000,-4.06835502246672
903000000,-5.22226978374641
922000000,-10.2087267697007
941000000,-12.7080823740205
960000000,-22.7390351979652
979000000,-15.3373198966585
998000000,-18.2571050730358
1017000000,-14.5826225831219
1036000000,-13.0143181198948
1055000000,-20.3091619900662
1074000000,-12.5490484855757
1093000000,-17.4378656568824
1112000000,-16.0253744748448
1131000000,-11.9599858226012
1150000000,-23.2679757414619
1169000000,-13.0548013410245
1188000000,-13.4799652698165
1207000000,-13.1625920477778
1226000000,-11.7314542898306
1245000000,-16.4976806886592
1264000000,-13.5842772376204
1283000000,-14.1790731564804
1302000000,-14.9667674035661
1321000000,-13.2555221528972
1340000000,-16.4183199163068
1359000000,-14.574528314626
1378000000,-16.2789355592104
1397000000,-18.4766411346953
1416000000,-14.6011499025303
1435000000,-16.4059275229868
1454000000,-20.1813943011356
1473000000,-18.1321721185264
1492000000,-19.1994673325302
1511000000,-23.2746087465557
1530000000,-17.3947438268642
1549000000,-20.7825285296354
1568000000,-26.0202587773927
1587000000,-11.626655221626
1606000000,-18.6099932600525
1625000000,-10.5126949036012
1644000000,-10.0395674780023
1663000000,-11.1701530092043
1682000000,-7.48828712147802
1701000000,-8.07824815091386
1720000000,-7.30017323889267
1739000000,-6.78109173075919
1758000000,-6.54540204290002
1777000000,-6.06520835790323
1796000000,-7.74207870638463
1815000000,-6.52771273369914
1834000000,-8.40174818168557
1853000000,-8.30091405947775
1872000000,-7.78818809254192
1891000000,-8.82643735996619
1910000000,-7.77183187272762
1929000000,-7.97172560217162
1948000000,-8.32453590297461
1967000000,-7.7330025976067
1986000000,-8.61360585734221
2005000000,-8.66093684341052
2024000000,-9.3506644335389
2043000000,-10.3060099682444
2062000000,-8.66305971024999
2081000000,-7.66812246673241
2100000000,-7.24405039613408
2119000000,-6.22382483380189
2138000000,-6.95277250787004
2157000000,-6.60440280485258
2176000000,-6.47692433983817
2195000000,-6.88832819594873
2214000000,-6.12774296538167
2233000000,-6.58518773502932
2252000000,-6.18339478439914
2271000000,-5.99139356655515
2290000000,-6.43155012409156
2309000000,-5.63099244881897
2328000000,-6.27248587181608
2347000000,-5.93629957900284
2366000000,-5.79088001102798
2385000000,-6.67530520244223
2404000000,-5.80338517874542
2423000000,-6.26106002626703
2442000000,-6.1304902060758
2461000000,-5.94743216378416
2480000000,-6.44205613730568
2499000000,-6.00610397429675
2518000000,-6.46692012899451
2537000000,-6.16768846894525
2556000000,-5.98859618910162
2575000000,-6.35298241542169
2594000000,-6.28125941681542
2613000000,-6.31831464295117
2632000000,-6.22613040838634
2651000000,-6.3713422661225
2670000000,-6.17760412956988
2689000000,-6.34254743523831
2708000000,-6.24992639990663
2727000000,-6.14652948329963
2746000000,-7.27316972129525
2765000000,-9.84968262739404
2784000000,-10.3139737522788
2803000000,-8.9369973260629
2822000000,-8.72460376191278
2841000000,-9.34753922894359
2860000000,-8.47399172446824
2879000000,-9.46530087906349
2898000000,-10.6457976431489
2917000000,-11.2189142711453
2936000000,-12.5712359555119
2955000000,-12.1413032719557
2974000000,-11.3859242570155
2993000000,-13.3430810869876
3012000000,-12.058497575749
3031000000,-11.3756104851312
3050000000,-11.8380422662226
3069000000,-9.97537427329518
3088000000,-11.0663788787483
3107000000,-10.2608256368832
3126000000,-11.2162862416557
3145000000,-14.7308296421778
3164000000,-10.1325086742926
3183000000,-10.2280065065208
3202000000,-11.1383718261101
3221000000,-9.34224603138864
3240000000,-11.8259126934171
3259000000,-9.81941782550204
3278000000,-10.2066675432779
3297000000,-11.7892738533009
3316000000,-9.73253442060508
3335000000,-12.6819902043443
3354000000,-11.1489970815228
3373000000,-10.5984564505453
3392000000,-13.5250961019475
3411000000,-10.113675908767
3430000000,-12.1081560963377
3449000000,-10.848328607509
3468000000,-9.55235923828649
3487000000,-12.415252061674
3506000000,-9.12305230490395
3525000000,-11.2367464259928
3544000000,-10.6456816704903
3563000000,-9.90238060727761
3582000000,-12.0761200258178
3601000000,-9.61281899926155
3620000000,-12.7859523503063
3639000000,-10.3747856464873
3658000000,-11.7816706348931
3677000000,-12.2936533065978
3696000000,-11.4599549663401
3715000000,-12.9533026699627
3734000000,-11.2214117577629
3753000000,-15.4582146308991
3772000000,-13.2924329168453
3791000000,-17.2541363303393
3810000000,-18.1550181583141
3829000000,-14.350038121965
3848000000,-17.9793777849499
3867000000,-13.0745691395395
3886000000,-11.9041642597823
3905000000,-13.3844261345812
3924000000,-9.74253432555687
3943000000,-11.907580365172
3962000000,-10.0061401939821
3981000000,-9.72128989723321
4000000000,-10.7440666125441
