! FILETYPE CSV,
! VERSION 1.0,1
! TIMESTAMP Tuesday, 19 March 2019 13:24:26
! NAME Agilent Technologies,
! MODEL N9923A,
! SERIAL US49470133,
! FIRMWARE_VERSION A.05.53,
! GPS_LATITUDE ,
! GPS_LONGITUDE ,
! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
! GPS_SECS_SINCE_LAST_READ 0,
! CHECKSUM 0860637020,
! CORRECTION1 Rdy,
! DATA Freq,S11
! FREQ UNIT Hz,
! DATA UNIT dB,
BEGIN,
500000000,-1.94697295549656
507500000,-2.08637405781289
515000000,-1.90489111642568
522500000,-1.63841077332437
530000000,-1.53642687609477
537500000,-1.65988325127946
545000000,-1.90947009686436
552500000,-2.08170617471648
560000000,-2.01812627020431
567500000,-1.8204213508721
575000000,-1.69605478727939
582500000,-1.74556109099575
590000000,-1.94704616390847
597500000,-2.1546333997216
605000000,-2.18540154878371
612500000,-2.04656265094418
620000000,-1.90134380197928
627500000,-1.87636474645771
635000000,-2.00199093776874
642500000,-2.19888086911509
650000000,-2.29821088008302
657500000,-2.22162860284653
665000000,-2.0785314234638
672500000,-1.98743949244018
680000000,-2.02351215370443
687500000,-2.20222684112232
695000000,-2.41126147250475
702500000,-2.48078213964424
710000000,-2.38058032754162
717500000,-2.21205080776851
725000000,-2.1022961413887
732500000,-2.14377623912913
740000000,-2.33383867023074
747500000,-2.5601355731573
755000000,-2.63337380646068
762500000,-2.51318324763586
770000000,-2.32958904340041
777500000,-2.25459182154652
785000000,-2.39387819656982
792500000,-2.69555813522163
800000000,-2.90316426146547
807500000,-2.83002026476581
815000000,-2.61012088822967
822500000,-2.43371011487591
830000000,-2.5397089052106
837500000,-2.95091545688999
845000000,-3.30829695442772
852500000,-3.27787207198572
860000000,-3.07995587247306
867500000,-3.01806259357616
875000000,-3.31931577741409
882500000,-4.10218162586712
890000000,-4.88273324802958
897500000,-5.04175964613152
905000000,-5.35563564813456
912500000,-6.93623597432392
920000000,-9.8257386693827
927500000,-12.9410809407227
935000000,-13.6246711018004
942500000,-12.0860646115134
950000000,-13.0021851683966
957500000,-19.7230442855838
965000000,-23.8795413074248
972500000,-20.1132095963341
980000000,-14.2267030685396
987500000,-13.6892389984635
995000000,-17.4125125668469
1002500000,-21.5013974618245
1010000000,-17.6479959629559
1017500000,-14.1447449249056
1025000000,-12.290291813791
1032500000,-12.224238775982
1040000000,-16.505345349616
1047500000,-21.3731996337766
1055000000,-20.6712417563361
1062500000,-18.1577945277929
1070000000,-13.9844891191363
1077500000,-11.3969137387832
1085000000,-12.4437929707678
1092500000,-18.0382688846205
1100000000,-22.066602965559
1107500000,-18.6215861836561
1115000000,-14.1415780532196
1122500000,-11.6782900531852
1130000000,-11.6506124095241
1137500000,-16.4562634606899
1145000000,-23.316675047073
1152500000,-23.2539545913181
1160000000,-16.887476925327
1167500000,-13.1816579034975
1175000000,-11.2721690461779
1182500000,-12.1793263960344
1190000000,-14.6799403706484
1197500000,-15.5093638813511
1205000000,-13.8377662403592
1212500000,-12.3503109891542
1220000000,-11.5685371402062
1227500000,-11.7460826895739
1235000000,-14.0788317511455
1242500000,-17.2824876370484
1250000000,-17.7043086335103
1257500000,-14.6781171513135
1265000000,-13.0916877719317
1272500000,-12.6642356203377
1280000000,-13.7655808656799
1287500000,-15.0109422233636
1295000000,-16.083815074702
1302500000,-15.5690489245305
1310000000,-13.5981315175784
1317500000,-12.7953638664844
1325000000,-13.2232849916751
1332500000,-14.6927577890638
1340000000,-17.6517614499493
1347500000,-20.2579019567243
1355000000,-16.8501103289351
1362500000,-13.4031458921224
1370000000,-13.0701782090224
1377500000,-15.8996707150885
1385000000,-16.4156633980039
1392500000,-18.1618272955375
1400000000,-20.8159510582075
1407500000,-18.0977926430633
1415000000,-14.2524138918813
1422500000,-15.343045951041
1430000000,-16.2560065273027
1437500000,-17.5963285364275
1445000000,-20.9497105293041
1452500000,-20.7369385476395
1460000000,-18.2910077456505
1467500000,-17.3863913719979
1475000000,-17.8119952509671
1482500000,-20.1998117462272
1490000000,-19.4382451416812
1497500000,-24.0185357914374
1505000000,-24.7732040226151
1512500000,-21.511348545008
1520000000,-21.9901064868228
1527500000,-18.2084790122479
1535000000,-14.6336731110261
1542500000,-16.4532735784864
1550000000,-24.4429626382231
1557500000,-26.7857649558352
1565000000,-28.5026670257476
1572500000,-17.8716780676612
1580000000,-12.3733326347956
1587500000,-11.5581412139769
1595000000,-13.4433463981747
1602500000,-18.1254515570622
1610000000,-20.2472825587479
1617500000,-13.8611784760313
1625000000,-10.3146458445635
1632500000,-8.98432981744583
1640000000,-9.51223637014455
1647500000,-11.4622229972627
1655000000,-12.7072482444223
1662500000,-11.6457915798749
1670000000,-9.28501003075032
1677500000,-7.7770610341202
1685000000,-7.46118693270806
1692500000,-8.21089480446209
1700000000,-8.82320100936301
1707500000,-8.72965741766295
1715000000,-9.06473893153109
1722500000,-6.78531121312389
1730000000,-6.3520458684483
1737500000,-6.94397489424767
1745000000,-7.81099334710977
1752500000,-7.66620505620652
1760000000,-6.56173212180739
1767500000,-5.78309814569829
1775000000,-5.88627956990181
1782500000,-6.81514543980003
1790000000,-8.04829791167609
1797500000,-8.33387559767172
1805000000,-7.40674057315951
1812500000,-6.52433977482845
1820000000,-6.68481691261458
1827500000,-7.54380397566074
1835000000,-8.84223944750596
1842500000,-9.59070843344551
1850000000,-9.1327912485876
1857500000,-8.0537300070318
1865000000,-7.51505560489145
1872500000,-7.69404029026514
1880000000,-8.41885693807975
1887500000,-9.20466066246516
1895000000,-9.39375931636041
1902500000,-8.65591692614985
1910000000,-7.78518677129933
1917500000,-7.37761226134427
1925000000,-7.70751909198309
1932500000,-8.3644637315566
1940000000,-8.85993384416241
1947500000,-8.86516190604731
1955000000,-8.33861758014138
1962500000,-7.71305044494485
1970000000,-7.62064522187604
1977500000,-8.16927580587365
1985000000,-8.95219227790833
1992500000,-9.36555876238837
2000000000,-9.11656883726068
