! FILETYPE CSV,
! VERSION 1.0,1
! TIMESTAMP Tuesday, 19 March 2019 13:31:03
! NAME Agilent Technologies,
! MODEL N9923A,
! SERIAL US49470133,
! FIRMWARE_VERSION A.05.53,
! GPS_LATITUDE ,
! GPS_LONGITUDE ,
! GPS_TIMESTAMP 0001-01-01 00:00:00Z,
! GPS_SECS_SINCE_LAST_READ 0,
! CHECKSUM 1623730358,
! CORRECTION1 Rdy,
! DATA Freq,S11
! FREQ UNIT Hz,
! DATA UNIT dB,
BEGIN,
2000000,-0.014628378551342
21990000,-0.229528609758539
41980000,-0.482406165774057
61970000,-0.448949951810158
81960000,-0.698797475385883
101950000,-0.583893735641923
121940000,-0.862191627213427
141930000,-0.705262489478326
161920000,-0.994337544722064
181910000,-0.871158546862498
201900000,-1.0922687708379
221890000,-0.990696375029762
241880000,-1.17098108546294
261870000,-1.23632510051665
281860000,-1.15575975464734
301850000,-1.43397088703503
321840000,-1.18491591333162
341830000,-1.60208729360519
361820000,-1.30799530374839
381810000,-1.66035994129972
401800000,-1.4780026872698
421790000,-1.45807133987426
441780000,-1.97731964702946
461770000,-1.44761820806511
481760000,-2.04832412421711
501750000,-1.65968909030815
521740000,-1.82427628666747
541730000,-2.05402433506373
561720000,-1.8046591673308
581710000,-2.25755305484495
601700000,-1.89224085280667
621690000,-2.23448305195617
641680000,-2.15959329737556
661670000,-2.10496707049048
681660000,-2.4944334469071
701650000,-2.10230893899102
721640000,-2.48605548052629
741630000,-2.51352959912102
761620000,-2.30694065437856
781610000,-2.81361789895657
801600000,-2.33225310369341
821590000,-2.82080120300646
841580000,-2.70840904225071
861570000,-2.51460824469553
881560000,-3.30567216008981
901550000,-2.36552340299234
921540000,-3.33119549081182
941530000,-2.84390916922713
961520000,-2.86084604194783
981510000,-3.65015375672488
1001500000,-2.41458324564878
1021490000,-3.97408191609198
1041480000,-2.97789059714321
1061470000,-3.50005754220756
1081460000,-3.78989864404161
1101450000,-2.94756516455996
1121440000,-4.56921926689179
1141430000,-3.07268259583476
1161420000,-4.52447593717469
1181410000,-4.30260520120502
1201400000,-4.46230821072058
1221390000,-5.81526228825334
1241380000,-4.85072457574956
1261370000,-8.15782537340631
1281360000,-7.58504631652368
1301350000,-10.1722783435993
1321340000,-11.761193298084
1341330000,-12.1084163591964
1361320000,-18.3318979049224
1381310000,-14.9300251490018
1401300000,-19.0636727613647
1421290000,-38.3458868200423
1441280000,-22.160309166154
1461270000,-17.492547689994
1481260000,-23.032589268702
1501250000,-11.1852838836346
1521240000,-12.6002644990851
1541230000,-8.5342724506766
1561220000,-7.63377232127926
1581210000,-7.79443883372594
1601200000,-4.98992756115922
1621190000,-7.0089532651819
1641180000,-4.56197553764783
1661170000,-5.46719639199311
1681160000,-5.47924069492373
1701150000,-4.32249734434704
1721140000,-6.15742361405924
1741130000,-3.86786217158332
1761120000,-5.63663543642158
1781110000,-4.63431711432818
1801100000,-4.56628187552078
1821090000,-5.94050101894244
1841080000,-3.94333408639785
1861070000,-5.90838791478031
1881060000,-4.44867233844606
1901050000,-4.79389693946325
1921040000,-5.66574968021953
1941030000,-4.25115965894612
1961020000,-5.78328476198089
1981010000,-4.57107380397053
2001000000,-5.09692644682711
2020990000,-5.41871076194246
2040980000,-4.45297885196987
2060970000,-5.76985890166996
2080960000,-4.61973619977594
2100950000,-5.22338070546027
2120940000,-5.4170988193648
2140930000,-4.61653540193952
2160920000,-5.85187605987947
2180910000,-4.72998397671076
2200900000,-5.30586791450143
2220890000,-5.39174599610688
2240880000,-4.71693843440463
2260870000,-5.81987626701073
2280860000,-4.65868192810873
2300850000,-5.48887014771674
2320840000,-5.2603008975176
2340830000,-4.92569016559924
2360820000,-5.85698972103597
2380810000,-4.58815158586082
2400800000,-5.55303707926077
2420790000,-5.27998917040013
2440780000,-5.14556064454062
2460770000,-5.76508108533969
2480760000,-4.94873512705627
2500750000,-5.63211435749206
2520740000,-5.24564025523008
2540730000,-5.47780365159844
2560720000,-5.72372988554517
2580710000,-5.23919830478569
2600700000,-5.67107252237199
2620690000,-5.39000477935112
2640680000,-5.56515977254719
2660670000,-5.6560465049681
2680660000,-5.44439164283288
2700650000,-5.7391908881391
2720640000,-5.6441702657264
2740630000,-5.62809252195835
2760620000,-5.81033493357101
2780610000,-5.6404439542833
2800600000,-5.84199431402469
2820590000,-5.69197337791619
2840580000,-5.53807969925192
2860570000,-6.1125391256753
2880560000,-5.81657468572997
2900550000,-5.88616481700791
2920540000,-5.99931004474153
2940530000,-5.68898128144811
2960520000,-6.2061403501543
2980510000,-5.96973764672113
3000500000,-5.84490420382491
3020490000,-6.28014328362305
3040480000,-5.85246271618325
3060470000,-6.15559212119039
3080460000,-6.19015840121874
3100450000,-5.87574373665212
3120440000,-6.55315772936551
3140430000,-5.95977229881018
3160420000,-6.33715416131728
3180410000,-6.41723919776668
3200400000,-5.83366690705577
3220390000,-6.82336899230616
3240380000,-5.94123935863393
3260370000,-6.50244738257598
3280360000,-6.53288855314419
3300350000,-5.89393744384335
3320340000,-7.10304562220955
3340330000,-5.97976394724424
3360320000,-6.74396202690815
3380310000,-6.64195339423219
3400300000,-6.11175229093603
3420290000,-7.24612130165997
3440280000,-6.00904364934735
3460270000,-7.06174056962189
3480260000,-6.61223538367982
3500250000,-6.33009752765752
3520240000,-7.34234564696407
3540230000,-6.11420826124489
3560220000,-7.29698060972672
3580210000,-6.58010533705494
3600200000,-6.63659115535904
3620190000,-7.51734401528772
3640180000,-6.28309192093748
3660170000,-7.47672609089025
3680160000,-6.78598376470548
3700150000,-6.87447892735624
3720140000,-7.40974203275197
3740130000,-6.54433441631877
3760120000,-7.65898406455413
3780110000,-6.85388366585071
3800100000,-7.12898254895257
3820090000,-7.49806715264742
3840080000,-6.63501829540294
3860070000,-7.97660166492887
3880060000,-6.89372879423847
3900050000,-7.21041044267215
3920040000,-7.76284512355201
3940030000,-6.69658825572865
3960020000,-8.28215927864158
3980010000,-6.91639199715634
4000000000,-7.52645902560764
